target,source,flow
AD,AT,2
AD,CH,4
AD,DE,2
AD,ES,6
AD,FR,5
AD,IT,6
AD,NL,1
AE,AT,5
AE,AU,2
AE,BR,1
AE,CA,3
AE,CH,54
AE,CO,5
AE,DE,19
AE,ES,15
AE,FR,84
AE,GB,34
AE,GR,3
AE,ID,4
AE,IN,2
AE,IT,97
AE,JP,3
AE,KR,4
AE,KW,1
AE,LB,3
AE,NL,13
AE,SG,10
AE,SN,10
AE,ST,1
AE,SY,1
AE,TH,8
AE,TR,8
AE,US,14
AE,ZA,2
AE,ZW,3
AF,KR,3
AG,CH,3
AG,US,2
AI,US,3
AL,AT,3
AL,CH,4
AL,DE,1
AL,IT,5
AL,TH,1
AM,AT,3
AM,CH,13
AM,DE,3
AM,ES,3
AM,FR,9
AM,GB,7
AM,IT,22
AM,TH,3
AO,CH,2
AO,PT,3
AR,AT,3
AR,AU,1
AR,CH,10
AR,CL,1
AR,DE,2
AR,FR,6
AR,IT,4
AR,MX,1
AR,PE,1
AR,TH,1
AR,US,2
AS,TH,1
AT,AU,6
AT,BR,1
AT,CA,1
AT,CH,27
AT,CN,4
AT,CO,1
AT,FR,3
AT,HK,5
AT,ID,2
AT,JP,4
AT,KR,2
AT,SG,8
AT,TH,4
AT,TR,2
AT,TW,1
AT,TZ,1
AT,US,2
AT,ZA,3
AU,AR,5
AU,AT,3
AU,CA,6
AU,CH,35
AU,CN,2
AU,DE,3
AU,DK,1
AU,ES,5
AU,FR,36
AU,GB,5
AU,HK,20
AU,HN,1
AU,ID,6
AU,IS,1
AU,IT,41
AU,JP,4
AU,KR,2
AU,LB,1
AU,LI,1
AU,LU,1
AU,MO,1
AU,MW,1
AU,MX,2
AU,NL,11
AU,NZ,5
AU,PG,1
AU,PH,1
AU,SG,48
AU,SZ,1
AU,TH,10
AU,TJ,1
AU,TW,3
AU,US,14
AU,VN,4
AU,ZA,10
AU,ZW,2
AW,AT,3
AW,CH,23
AW,DE,1
AW,FR,4
AW,US,16
AZ,AT,4
AZ,CH,25
AZ,DE,9
AZ,ES,2
AZ,FR,15
AZ,GB,5
AZ,IT,39
AZ,NL,2
AZ,TH,2
AZ,US,2
BA,AT,2
BA,CH,1
BA,IT,1
BA,SI,3
BB,CH,4
BB,FR,9
BB,US,2
BD,CH,1
BD,TH,4
BE,AU,1
BE,CA,6
BE,CH,16
BE,ID,1
BE,KR,2
BE,MA,3
BE,MX,2
BE,SG,1
BE,TH,6
BE,ZA,1
BG,CH,13
BG,ID,2
BG,TH,3
BH,CH,18
BH,CO,2
BH,DE,1
BH,ES,2
BH,FR,16
BH,GB,6
BH,IT,24
BH,MY,1
BH,NL,1
BH,SG,3
BH,TH,4
BH,US,2
BL,US,2
BM,CH,2
BM,IT,2
BM,US,9
BN,CH,1
BN,IT,2
BN,SG,2
BN,TH,2
BO,AU,1
BO,BR,1
BO,CH,3
BO,CO,1
BO,DE,1
BO,US,3
BR,AR,1
BR,AT,5
BR,BO,3
BR,CH,26
BR,CO,1
BR,ES,11
BR,FR,34
BR,GB,9
BR,ID,6
BR,IT,48
BR,MY,1
BR,NL,1
BR,SG,7
BR,SN,1
BR,TH,3
BR,US,6
BR,UY,1
BR,ZA,2
BS,CH,12
BS,DE,1
BS,IT,9
BS,US,8
BV,CH,1
BY,AT,4
BY,CH,8
BY,DE,1
BY,FR,1
BY,GB,1
BY,IT,16
BY,TH,1
BZ,CH,5
BZ,US,1
CA,AR,1
CA,AT,4
CA,AU,5
CA,BR,1
CA,CH,32
CA,CO,7
CA,DE,5
CA,DK,3
CA,ES,3
CA,FR,35
CA,GB,2
CA,ID,2
CA,IT,37
CA,JP,2
CA,KR,3
CA,MX,8
CA,NO,1
CA,PH,2
CA,RU,1
CA,SG,1
CA,TH,8
CA,TR,1
CA,US,52
CA,VN,1
CA,ZA,2
CD,CH,1
CD,FR,1
