source,target,value
Switzerland,leather products (small),395
Italy,leather products (small),305
France,leather products (small),259
Switzerland,leather products (small),254
Switzerland,leather products (small),245
Italy,leather products (small),224
Switzerland,leather products (small),194
France,leather products (small),166
Switzerland,leather products (small),153
Italy,leather products (small),152
France,leather products (small),145
Italy,leather products (small),144
France,leather products (small),132
United States,leather products (small),127
Italy,leather products (small),124
France,leather products (small),123
France,leather products (small),121
Australia,leather products (small),109
Switzerland,leather products (small),107
Germany,leather products (small),106
Switzerland,leather products (small),105
Italy,leather products (small),101
Italy,leather products (small),99
United States,leather products (small),97
Thailand,leather products (small),91
Switzerland,leather products (small),89
Italy,leather products (small),88
Thailand,leather products (small),87
Singapore,leather products (small),86
Singapore,skins,84
France,leather products (small),82
Singapore,leather products (small),81
Thailand,leather products (small),79
Italy,leather products (small),79
France,leather products (small),78
Singapore,leather products (small),74
United Kingdom,leather products (small),74
France,leather products (large),71
Italy,skins,70
Thailand,leather products (small),69
Austria,leather products (small),67
France,leather products (small),64
Switzerland,leather products (small),63
Italy,leather products (small),60
Austria,leather products (small),59
Italy,leather products (small),58
Switzerland,leather products (small),56
Italy,leather products (small),54
Colombia,leather products (small),52
South Korea,leather products (small),52
Spain,leather products (small),51
Italy,leather products (small),51
Italy,leather products (small),50
France,leather products (small),49
United Kingdom,leather products (small),48
Singapore,skins,48
Singapore,skins,48
Switzerland,leather products (small),47
Italy,leather products (small),47
Italy,skins,47
United States,leather products (small),45
France,leather products (large),43
Japan,leather products (small),43
South Africa,leather products (small),43
Germany,leather products (small),43
Singapore,leather products (small),42
United States,leather products (small),42
Spain,skins,42
Indonesia,leather products (small),40
United States,leather products (small),40
South Korea,leather products (small),39
Colombia,leather products (small),38
Netherlands,leather products (small),38
Germany,leather products (small),37
France,skins,36
Italy,skins,36
Hong Kong SAR China,leather products (small),35
United States,leather products (small),35
Switzerland,leather products (small),35
Italy,leather products (small),35
South Africa,skins,35
Austria,leather products (small),34
South Korea,leather products (small),34
Switzerland,leather products (small),34
France,skins,34
France,leather products (large),33
Hong Kong SAR China,leather products (small),33
Singapore,leather products (small),33
Canada,skins,33
Italy,leather products (large),32
Italy,leather products (small),32
Singapore,leather products (small),32
Mexico,leather products (small),32
Singapore,leather products (small),32
United Kingdom,leather products (small),31
Japan,leather products (small),30
Spain,leather products (small),30
Switzerland,leather products (small),30
France,leather products (small),30
United States,leather products (small),30
Japan,leather products (small),30
Italy,skins,30
Switzerland,leather products (small),29
Hong Kong SAR China,leather products (small),29
Netherlands,leather products (small),29
Brazil,leather products (small),29
Switzerland,leather products (small),28
Netherlands,leather products (small),27
Spain,leather products (small),27
Japan,leather products (small),27
Italy,leather products (small),27
France,leather products (small),27
Italy,skins,27
Canada,skins,27
France,leather products (large),26
France,leather products (large),26
France,leather products (small),26
United Kingdom,leather products (small),26
United States,leather products (small),26
United States,skins,26
Colombia,skins,26
Switzerland,leather products (small),25
Japan,leather products (small),25
Italy,leather products (small),25
Germany,leather products (small),25
Australia,skins,25
Australia,leather products (small),24
Italy,leather products (small),24
Italy,leather products (small),24
Italy,leather products (small),24
Turkey,leather products (small),24
Singapore,skins,24
Singapore,skins,24
Spain,leather products (small),23
Singapore,leather products (small),23
Italy,leather products (small),23
Thailand,leather products (small),23
United Kingdom,leather products (small),22
China,leather products (small),22
Spain,leather products (small),22
France,skins,22
China,leather products (small),21
Mexico,leather products (small),21
United Arab Emirates,leather products (small),21
Mexico,leather products (small),21
United States,leather products (small),21
Italy,leather products (large),20
Italy,leather products (large),20
Italy,leather products (large),20
Thailand,leather products (small),20
Italy,leather products (small),20
United States,skins,20
France,skins,20
South Korea,leather products (small),19
France,leather products (small),19
Netherlands,leather products (small),19
Japan,leather products (small),19
United Kingdom,leather products (small),19
Italy,skins,19
Malaysia,leather products (small),18
Mexico,leather products (small),18
Italy,leather products (small),18
Indonesia,leather products (small),18
Germany,leather products (small),18
Germany,leather products (small),18
Canada,skins,18
Canada,skins,18
Singapore,skins,18
France,skins,18
Italy,leather products (large),17
United States,leather products (large),17
Taiwan,leather products (small),17
Malaysia,leather products (small),17
United States,leather products (small),17
Spain,leather products (small),17
China,leather products (small),17
South Korea,leather products (small),17
Switzerland,leather products (small),17
Thailand,leather products (small),17
Senegal,leather products (small),17
France,leather products (small),17
Spain,leather products (small),17
