"","target","source","flow"
"1","AD","AT",2
"2","AD","CH",3
"3","AD","DE",2
"4","AD","ES",6
"5","AD","FR",3
"6","AD","IT",5
"7","AD","NL",1
"8","AE","AT",3
"9","AE","BR",4
"10","AE","CH",49
"11","AE","CN",1
"12","AE","CO",4
"13","AE","DE",13
"14","AE","DK",1
"15","AE","ES",12
"16","AE","FR",45
"17","AE","GB",18
"18","AE","GR",1
"19","AE","HK",11
"20","AE","ID",9
"21","AE","IT",85
"22","AE","JP",3
"23","AE","KR",1
"24","AE","KW",9
"25","AE","LB",1
"26","AE","MT",1
"27","AE","NL",10
"28","AE","PT",1
"29","AE","QA",10
"30","AE","SG",7
"31","AE","SM",2
"32","AE","SN",4
"33","AE","TH",9
"34","AE","TR",1
"35","AE","US",3
"36","AE","ZA",2
"37","AF","KR",1
"38","AG","CH",1
"39","AG","US",1
"40","AL","AT",1
"41","AL","CH",5
"42","AL","DE",3
"43","AL","FR",2
"44","AL","IT",12
"45","AM","AT",2
"46","AM","CH",6
"47","AM","DE",8
"48","AM","ES",1
"49","AM","FR",8
"50","AM","IT",19
"51","AM","SG",2
"52","AO","CH",1
"53","AO","FR",6
"54","AO","IT",5
"55","AO","TH",1
"56","AO","ZA",2
"57","AR","CH",7
"58","AR","CN",1
"59","AR","FR",12
"60","AR","MX",6
"61","AR","PA",1
"62","AR","SG",1
"63","AR","TH",2
"64","AR","US",2
"65","AR","VN",1
"66","AT","AE",1
"67","AT","AR",1
"68","AT","AU",5
"69","AT","CA",2
"70","AT","CH",22
"71","AT","CN",4
"72","AT","FR",1
"73","AT","HK",4
"74","AT","JP",8
"75","AT","KR",6
"76","AT","MX",1
"77","AT","MY",1
"78","AT","SG",3
"79","AT","SM",2
"80","AT","TH",4
"81","AT","TR",1
"82","AT","TW",2
"83","AT","US",3
"84","AT","ZA",2
"85","AU","AT",3
"86","AU","BD",1
"87","AU","BR",3
"88","AU","CA",3
"89","AU","CH",36
"90","AU","CN",4
"91","AU","DE",6
"92","AU","DK",1
"93","AU","ES",6
"94","AU","FR",40
"95","AU","GB",8
"96","AU","HK",21
"97","AU","HN",1
"98","AU","HR",1
"99","AU","ID",5
"100","AU","IT",52
"101","AU","JP",4
"102","AU","KR",3
"103","AU","MO",4
"104","AU","MY",1
"105","AU","NL",11
"106","AU","NZ",4
"107","AU","PG",1
"108","AU","PT",1
"109","AU","SG",57
"110","AU","TH",14
"111","AU","TR",1
"112","AU","TW",2
"113","AU","US",9
"114","AU","ZA",5
"115","AU","ZW",1
"116","AW","CH",16
"117","AW","DE",1
"118","AW","FR",3
"119","AW","IT",3
"120","AW","NL",1
"121","AW","PA",1
"122","AW","US",5
"123","AZ","AT",1
"124","AZ","CH",12
"125","AZ","CN",1
"126","AZ","DE",6
"127","AZ","ES",2
"128","AZ","FR",15
"129","AZ","GB",3
"130","AZ","IT",32
"131","AZ","NL",3
"132","BA","AT",2
"133","BA","CH",1
"134","BA","IT",1
"135","BA","SI",3
"136","BB","CH",4
"137","BB","FR",4
"138","BB","US",2
"139","BD","AT",2
"140","BD","AU",2
"141","BD","CH",1
"142","BD","HK",1
"143","BD","TH",6
"144","BD","ZA",1
"145","BE","CA",7
"146","BE","CH",21
"147","BE","CN",1
"148","BE","HK",6
"149","BE","ID",1
"150","BE","KR",2
"151","BE","MA",4
"152","BE","NO",2
"153","BE","SN",4
"154","BE","TH",4
"155","BE","US",7
"156","BE","VN",1
"157","BE","ZA",8
"158","BG","CH",12
"159","BG","SG",5
"160","BG","TH",1
"161","BH","AT",1
"162","BH","BR",2
"163","BH","CH",17
"164","BH","CO",2
"165","BH","DE",3
"166","BH","ES",2
