Country,exporter
Argentina,50
Australia,164
Austria,165
Belgium,63
Bolivia,40
Botswana,3
Brazil,169
Canada,206
Chad,8
Chile,8
China,230
Colombia,117
Denmark,52
Estonia,2
Finland,19
France,1932
Germany,380
Greece,16
Hong Kong SAR China,295
India,7
Indonesia,145
Ireland,1
Israel,12
Italy,2265
Japan,348
Kenya,4
Kuwait,46
Lebanon,51
Luxembourg,14
Macau SAR China,39
Madagascar,16
Malawi,6
Malaysia,102
Mali,4
Mauritius,31
Mexico,295
Monaco,14
Morocco,9
Mozambique,9
Netherlands,264
New Zealand,7
Nicaragua,12
Nigeria,4
Norway,11
Panama,5
Papua New Guinea,17
Peru,17
Philippines,37
Portugal,39
Qatar,30
Romania,4
Russia,25
San Marino,15
Senegal,54
Singapore,592
Slovenia,13
South Africa,254
South Korea,362
Spain,440
Sweden,11
Switzerland,2054
Thailand,504
Tunisia,10
Turkey,99
Ukraine,20
United Arab Emirates,129
United Kingdom,412
United States,605
Venezuela,5
Vietnam,135
Zambia,7
Zimbabwe,37
