"exporter","country"
"Andorra",2
"Argentina",78
"Armenia",12
"Aruba",3
"Australia",166
"Austria",177
"Bahamas",1
"Bahrain",2
"Belgium",49
"Belize",4
"Benin",4
"Bolivia",41
"Botswana",4
"Brazil",150
"British Virgin Islands",1
"Brunei",1
"Bulgaria",3
"C?te d'Ivoire",4
"Cambodia",1
"Cameroon",4
"Canada",226
"Chad",5
"Chile",8
"China",190
"Cocos [Keeling] Islands",1
"Colombia",188
"Congo [Republic]",2
"Costa Rica",1
"Croatia",3
"Cyprus",1
"Denmark",58
"Dominican Republic",2
"El Salvador",2
"Estonia",1
"Finland",1
"France",1826
"French Polynesia",1
"Gambia",1
"Germany",391
"Ghana",1
"Greece",18
"Guyana",5
"Hong Kong",299
"Iceland",7
"India",10
"Indonesia",187
"Ireland",6
"Israel",5
"Italy",2626
"Japan",367
"Kenya",6
"Kuwait",17
"Laos",11
"Latvia",1
"Lebanon",38
"Liechtenstein",1
"Lithuania",3
"Luxembourg",19
"Macau",47
"Madagascar",13
"Malawi",5
"Malaysia",129
"Mali",4
"Mauritius",50
"Mexico",294
"Monaco",11
"Mongolia",1
"Morocco",15
"Mozambique",7
"Netherlands",281
"New Zealand",19
"Nicaragua",13
"Niger",1
"Nigeria",7
"North Korea",1
"Norway",7
"Panama",6
"Papua New Guinea",15
"Paraguay",6
"Peru",15
"Philippines",48
"Poland",5
"Portugal",39
"Qatar",6
"Romania",1
"Russia",32
"Saint Kitts and Nevis",2
"San Marino",11
"Saudi Arabia",4
"Senegal",45
"Singapore",823
"Slovenia",14
"South Africa",219
"South Korea",357
"Spain",403
"Sri Lanka",1
"Sudan",3
"Suriname",2
"Swaziland",5
"Sweden",7
"Switzerland",2175
"Taiwan",82
"Tanzania",4
"Thailand",492
"Togo",10
"Tunisia",17
"Turkey",138
"Uganda",1
"Ukraine",16
"United Arab Emirates",118
"United Kingdom",439
"United States",663
"Uruguay",4
"Uzbekistan",6
"Venezuela",4
"Vietnam",115
"Zambia",4
"Zimbabwe",58
