"exporter","country"
"Albania",1
"Argentina",50
"Australia",164
"Austria",165
"Bahrain",7
"Bangladesh",2
"Barbados",2
"Belgium",63
"Bermuda",4
"Bolivia",40
"Botswana",3
"Brazil",169
"C?te d'Ivoire",1
"Cambodia",4
"Cameroon",2
"Canada",206
"Cayman Islands",1
"Chad",8
"Chile",8
"China",230
"Colombia",117
"Cook Islands",2
"Costa Rica",1
"Denmark",52
"Estonia",2
"Finland",19
"France",1932
"Gabon",4
"Georgia",1
"Germany",382
"Greece",16
"Guyana",6
"Hong Kong",295
"Hungary",1
"Iceland",9
"India",7
"Indonesia",145
"Ireland",1
"Israel",12
"Italy",2247
"Japan",348
"Kazakhstan",3
"Kenya",4
"Kuwait",46
"Laos",6
"Lebanon",51
"Liechtenstein",1
"Luxembourg",14
"Macau",39
"Madagascar",16
"Malawi",6
"Malaysia",102
"Mali",4
"Malta",2
"Mauritius",31
"Mexico",295
"Monaco",14
"Morocco",9
"Mozambique",9
"Nepal",2
"Netherlands",259
"New Zealand",7
"Nicaragua",12
"Nigeria",4
"Norway",11
"Oman",1
"Panama",5
"Papua New Guinea",17
"Paraguay",1
"Peru",17
"Philippines",37
"Portugal",39
"Qatar",30
"Romania",4
"Russia",25
"San Marino",15
"Senegal",54
"Serbia",7
"Singapore",592
"Slovenia",13
"South Africa",254
"South Korea",362
"Spain",440
"Sudan",5
"Swaziland",5
"Sweden",11
"Switzerland",2053
"Syria",2
"Taiwan",74
"Tanzania",1
"Thailand",504
"Togo",7
"Tunisia",10
"Turkey",99
"Uganda",3
"Ukraine",20
"United Arab Emirates",129
"United Kingdom",412
"United States",598
"Venezuela",5
"Vietnam",135
"Zambia",7
"Zimbabwe",37
