"exporterCountry","2017"
"Andorra",1
"Argentina",41
"Aruba",1
"Australia",47
"Austria",184
"Azerbaijan",2
"Barbados",5
"Belgium",95
"Bermuda",1
"Bolivia",16
"Botswana",4
"Brazil",84
"Cambodia",2
"Canada",165
"Chad",1
"Chile",19
"China",158
"Colombia",110
"Costa Rica",6
"Cyprus",2
"Czech Republic",8
"Denmark",29
"Dominican Republic",1
"Egypt",1
"El Salvador",1
"Estonia",15
"Ethiopia",1
"Finland",21
"France",1410
"Gabon",1
"Georgia",6
"Germany",363
"Ghana",1
"Greece",13
"Guadeloupe",1
"Guyana",2
"Hong Kong",436
"Iceland",1
"India",7
"Indonesia",163
"Ireland",6
"Israel",4
"Italy",1829
"Japan",307
"Kazakhstan",7
"Kenya",3
"Kuwait",42
"Lebanon",5
"Lithuania",4
"Luxembourg",24
"Macau",12
"Madagascar",24
"Malawi",2
"Malaysia",105
"Mali",3
"Malta",4
"Mauritius",21
"Mexico",258
"Moldova",1
"Monaco",21
"Mongolia",2
"Morocco",9
"Mozambique",7
"Netherlands",223
"New Zealand",14
"Nicaragua",11
"Nigeria",1
"Norway",18
"Panama",4
"Papua New Guinea",10
"Peru",17
"Philippines",19
"Poland",5
"Portugal",31
"Qatar",62
"R¨¦union",1
"Romania",12
"Russia",23
"San Marino",7
"Saudi Arabia",1
"Senegal",21
"Serbia",2
"Singapore",725
"Slovenia",7
"South Africa",145
"South Korea",153
"Spain",455
"Sudan",1
"Swaziland",1
"Sweden",6
"Switzerland",1651
"Taiwan",39
"Thailand",455
"Togo",3
"Tunisia",6
"Turkey",83
"Ukraine",14
"United Arab Emirates",140
"United Kingdom",322
"United States",423
"Uruguay",5
"Venezuela",7
"Vietnam",145
"Zambia",3
"Zimbabwe",33
