"importer","country"
"Afghanistan",1
"Albania",16
"Algeria",18
"Andorra",29
"Angola",20
"Anguilla",1
"Antigua and Barbuda",4
"Argentina",38
"Armenia",41
"Aruba",24
"Australia",304
"Austria",68
"Azerbaijan",120
"Bahamas",22
"Bahrain",68
"Bangladesh",5
"Barbados",17
"Belarus",32
"Belgium",51
"Belize",3
"Benin",3
"Bermuda",13
"Bhutan",1
"Bolivia",3
"Bosnia and Herzegovina",10
"Botswana",3
"Brazil",132
"British Virgin Islands",7
"Brunei",7
"Bulgaria",16
"Burkina Faso",2
"C?te d'Ivoire",12
"Cambodia",16
"Cameroon",7
"Canada",271
"Cape Verde",1
"Cayman Islands",8
"Chad",1
"Chile",28
"China",647
"Cocos [Keeling] Islands",5
"Colombia",48
"Comoros",1
"Congo [DRC]",4
"Congo [Republic]",11
"Costa Rica",24
"Croatia",7
"Cuba",2
"Cyprus",19
"Czech Republic",23
"Denmark",66
"Djibouti",1
"Dominica",3
"Dominican Republic",35
"Ecuador",16
"Egypt",52
"El Salvador",2
"Estonia",9
"Ethiopia",2
"Falkland Islands [Islas Malvinas]",1
"Fiji",2
"Finland",26
"France",600
"French Guiana",1
"French Southern Territories",5
"Gabon",9
"Gambia",2
"Georgia",34
"Germany",227
"Ghana",3
"Gibraltar",6
"Greece",40
"Grenada",1
"Guadeloupe",16
"Guam",12
"Guatemala",20
"Guernsey",2
"Guinea",4
"Guyana",1
"Haiti",5
"Honduras",8
"Hong Kong",506
"Hungary",13
"Iceland",17
"India",92
"Indonesia",90
"Iran",30
"Iraq",16
"Ireland",9
"Isle of Man",4
"Israel",72
"Italy",544
"Jamaica",9
"Japan",756
"Jordan",29
"Kazakhstan",116
"Kenya",12
"Kuwait",145
"Kyrgyzstan",2
"Laos",11
"Latvia",13
"Lebanon",85
"Liberia",1
"Libya",7
"Liechtenstein",12
"Lithuania",15
"Luxembourg",10
"Macau",164
"Macedonia [FYROM]",10
"Madagascar",9
"Malaysia",251
"Maldives",8
"Mali",2
"Malta",5
"Martinique",3
"Mauritania",1
"Mauritius",22
"Mexico",201
"Moldova",13
"Monaco",102
"Mongolia",17
"Montenegro",10
"Morocco",57
"Mozambique",3
"Myanmar [Burma]",8
"Nepal",6
"Netherlands",63
"Netherlands Antilles",3
"New Caledonia",3
"New Zealand",86
"Nicaragua",4
"Niger",3
"Nigeria",59
"North Korea",12
"Norway",129
"Oman",37
"Pakistan",21
"Panama",61
"Papua New Guinea",9
"Paraguay",7
"Peru",24
"Philippines",74
"Poland",26
"Portugal",35
"Puerto Rico",9
"Qatar",217
"R¨¦union",6
"Romania",20
"Russia",315
"Saint Helena",1
"Saint Kitts and Nevis",4
"Saint Lucia",4
"Saint Vincent and the Grenadines",1
"San Marino",10
"Saudi Arabia",157
"Senegal",11
"Serbia",32
"Seychelles",6
"Sierra Leone",4
"Singapore",466
"Slovakia",8
"Slovenia",10
"Solomon Islands",1
"South Africa",136
"South Korea",658
"Spain",164
"Sri Lanka",5
"Sudan",1
"Suriname",1
"Svalbard and Jan Mayen",1
"Swaziland",9
"Sweden",21
"Switzerland",634
"Syria",7
"Taiwan",223
"Tajikistan",2
"Tanzania",4
"Thailand",215
"Togo",1
"Tokelau",1
"Tonga",1
"Trinidad and Tobago",1
"Tunisia",26
"Turkey",353
"Turkmenistan",23
"Turks and Caicos Islands",4
"U.S. Virgin Islands",9
"Uganda",6
"Ukraine",135
"United Arab Emirates",332
"United Kingdom",149
"United States",1481
"Uruguay",12
"Uzbekistan",43
"Vanuatu",2
"Vatican City",2
"Venezuela",17
"Vietnam",139
"Wallis and Futuna",1
"Yemen",3
"Zambia",5
"Zimbabwe",8
