"importerCountry","2016"
"Afghanistan",7
"Albania",12
"Algeria",33
"Andorra",23
"Angola",22
"Anguilla",1
"Antigua and Barbuda",3
"Argentina",25
"Armenia",52
"Aruba",63
"Australia",321
"Austria",72
"Azerbaijan",113
"Bahamas",28
"Bahrain",75
"Bangladesh",4
"Barbados",12
"Belarus",31
"Belgium",41
"Belize",2
"Benin",2
"Bermuda",6
"Bhutan",2
"Bolivia",4
"Bosnia and Herzegovina",3
"Botswana",2
"Brazil",126
"British Virgin Islands",5
"Brunei",14
"Bulgaria",14
"Burkina Faso",2
"C?te d'Ivoire",17
"Cambodia",15
"Cameroon",5
"Canada",270
"Cayman Islands",8
"Chad",1
"Chile",47
"China",615
"Cocos [Keeling] Islands",5
"Colombia",48
"Congo [DRC]",8
"Congo [Republic]",15
"Costa Rica",14
"Croatia",6
"Cuba",2
"Cyprus",23
"Czech Republic",25
"Denmark",72
"Djibouti",1
"Dominica",1
"Dominican Republic",24
"Ecuador",7
"Egypt",52
"El Salvador",3
"Estonia",7
"Ethiopia",1
"Fiji",2
"Finland",22
"France",620
"French Guiana",1
"French Southern Territories",5
"Gabon",5
"Gambia",2
"Georgia",20
"Germany",207
"Ghana",12
"Gibraltar",5
"Greece",32
"Grenada",1
"Guadeloupe",12
"Guam",25
"Guatemala",23
"Guernsey",2
"Haiti",5
"Honduras",7
"Hong Kong",532
"Hungary",11
"Iceland",13
"India",109
"Indonesia",105
"Iran",31
"Iraq",14
"Ireland",6
"Isle of Man",6
"Israel",81
"Italy",550
"Jamaica",5
"Japan",716
"Jersey",4
"Jordan",30
"Kazakhstan",108
"Kenya",11
"Kuwait",150
"Kyrgyzstan",12
"Laos",14
"Latvia",8
"Lebanon",104
"Liberia",1
"Libya",3
"Liechtenstein",5
"Lithuania",10
"Luxembourg",7
"Macau",156
"Macedonia [FYROM]",5
"Madagascar",24
"Malawi",3
"Malaysia",226
"Maldives",7
"Malta",8
"Martinique",1
"Mauritania",2
"Mauritius",16
"Mexico",227
"Moldova",12
"Monaco",105
"Mongolia",11
"Montenegro",14
"Morocco",48
"Mozambique",2
"Myanmar [Burma]",7
"Nepal",5
"Netherlands",70
"Netherlands Antilles",1
"New Caledonia",4
"New Zealand",71
"Nicaragua",2
"Niger",5
"Nigeria",34
"North Korea",16
"Northern Mariana Islands",4
"Norway",121
"Oman",41
"Pakistan",15
"Panama",71
"Papua New Guinea",10
"Paraguay",13
"Peru",20
"Philippines",81
"Poland",14
"Portugal",40
"Puerto Rico",8
"Qatar",252
"R¨¦union",5
"Romania",14
"Russia",287
"Saint Kitts and Nevis",4
"Saint Lucia",3
"San Marino",14
"Saudi Arabia",169
"Senegal",10
"Serbia",26
"Seychelles",6
"Singapore",478
"Slovakia",9
"Slovenia",10
"South Africa",160
"South Korea",616
"Spain",135
"Sri Lanka",9
"Sudan",1
"Suriname",2
"Svalbard and Jan Mayen",2
"Swaziland",9
"Sweden",20
"Switzerland",661
"Syria",5
"Taiwan",231
"Tajikistan",2
"Tanzania",3
"Thailand",220
"Togo",1
"Tokelau",2
"Trinidad and Tobago",3
"Tunisia",23
"Turkey",323
"Turkmenistan",27
"Turks and Caicos Islands",4
"U.S. Virgin Islands",8
"Uganda",3
"Ukraine",116
"United Arab Emirates",370
"United Kingdom",172
"United States",1373
"Uruguay",14
"Uzbekistan",41
"Vanuatu",1
"Vatican City",2
"Venezuela",20
"Vietnam",185
"Wallis and Futuna",1
"Yemen",3
"Zambia",3
"Zimbabwe",5
