"origin","country"
"Argentina",555
"Australia",448
"Austria",14
"Belgium",5
"Benin",2
"Bolivia",367
"Botswana",6
"Brazil",23
"C?te d'Ivoire",1
"Cambodia",24
"Cameroon",64
"Canada",62
"Central African Republic",1
"Chad",223
"Chile",13
"China",8
"Cocos [Keeling] Islands",1
"Colombia",686
"Congo [DRC]",2
"Czech Republic",3
"Denmark",1
"El Salvador",2
"Equatorial Guinea",1
"France",23
"Germany",4
"Ghana",4
"Guatemala",1
"Guinea",7
"Guyana",23
"Honduras",2
"Hong Kong",1
"Hungary",1
"India",4
"Indonesia",1868
"Israel",22
"Italy",17
"Japan",5
"Jordan",1
"Kenya",25
"Laos",746
"Macau",6
"Macedonia [FYROM]",1
"Madagascar",64
"Malawi",39
"Malaysia",699
"Mali",261
"Mauritius",3
"Mexico",2
"Mongolia",1
"Mozambique",130
"Namibia",39
"Netherlands",1
"Nicaragua",25
"Niger",2
"Nigeria",5
"Panama",7
"Papua New Guinea",405
"Paraguay",45
"Peru",95
"Philippines",15
"Portugal",2
"Russia",1
"Saudi Arabia",5
"Senegal",6
"Singapore",55
"South Africa",429
"Spain",1
"Sudan",87
"Switzerland",9
"Taiwan",1
"Tanzania",17
"Thailand",420
"Togo",30
"Uganda",2
"Ukraine",3
"United States",1841
"Venezuela",238
"Vietnam",1277
"Zambia",238
"Zimbabwe",758
