"","importerCountry","2012","2013","2014","2015","2016","2017","2018"
"9","Australia",294,344,304,321,309,202,201
"32","China",620,677,647,615,557,524,476
"50","France",515,586,600,620,591,545,520
"63","Hong Kong SAR China",528,537,506,532,634,619,594
"72","Italy",509,542,544,550,560,470,420
"74","Japan",829,797,756,716,719,634,603
"123","Russia",391,384,315,287,268,240,215
"129","Singapore",458,458,466,478,504,414,393
"134","South Korea",640,631,658,616,581,382,369
"143","Switzerland",674,696,634,661,711,605,548
"148","Turkey",327,277,353,323,266,226,197
"153","United Arab Emirates",409,417,332,370,320,315,294
"155","United States",1659,1639,1481,1377,1199,1224,1209
