Country,importer
Albania,17
Algeria,13
Andorra,18
Angola,7
Antigua & Barbuda,2
Argentina,20
Armenia,32
Aruba,13
Australia,201
Austria,41
Azerbaijan,49
Bahamas,14
Bahrain,62
Bangladesh,6
Barbados,3
Belarus,12
Belgium,38
Belize,3
Bermuda,9
Bolivia,3
Bosnia & Herzegovina,2
Brazil,72
British Virgin Islands,7
Brunei,7
Bulgaria,9
C<U+00F4>te d??Ivoire,8
Cambodia,38
Cameroon,8
Canada,232
Cayman Islands,9
Chile,21
China,476
Colombia,31
Congo - Brazzaville,12
Congo - Kinshasa,7
Costa Rica,10
Croatia,6
Cuba,3
Cura<U+00E7>ao,1
Cyprus,9
Czechia,17
Denmark,36
Dominica,3
Dominican Republic,27
Ecuador,10
Egypt,27
Estonia,5
Ethiopia,3
Finland,17
France,520
French Southern Territories,1
Gabon,1
Georgia,28
Germany,159
Ghana,10
Gibraltar,10
Greece,25
Guadeloupe,2
Guam,20
Guatemala,3
Haiti,2
Honduras,2
Hong Kong SAR China,594
Hungary,6
Iceland,11
India,77
Indonesia,97
Iran,26
Iraq,31
Ireland,6
Israel,58
Italy,420
Jamaica,4
Japan,603
Jordan,27
Kazakhstan,67
Kenya,4
Kuwait,132
Kyrgyzstan,9
Laos,7
Latvia,9
Lebanon,76
Libya,1
Liechtenstein,10
Lithuania,6
Luxembourg,6
Macau SAR China,153
Macedonia,4
Madagascar,24
Malaysia,175
Maldives,2
Malta,3
Mauritius,20
Mexico,146
Moldova,6
Monaco,86
Mongolia,13
Montenegro,10
Morocco,58
Mozambique,2
Myanmar (Burma),14
Nepal,5
Netherlands,90
New Caledonia,5
New Zealand,45
Nicaragua,1
Nigeria,29
North Korea,4
Norway,85
Oman,36
Pakistan,14
Panama,32
Papua New Guinea,10
Paraguay,5
Peru,8
Philippines,68
Poland,19
Portugal,36
Puerto Rico,7
Qatar,191
R??union,3
Romania,23
Russia,215
Saint Martin (French part),5
San Marino,4
Saudi Arabia,130
Senegal,5
Serbia,12
Singapore,393
Sint Maarten,2
Slovakia,9
Slovenia,10
South Africa,120
South Korea,369
Spain,94
Sri Lanka,8
St. Barth??lemy,38
St. Kitts & Nevis,4
St. Lucia,3
Suriname,2
Swaziland,2
Sweden,19
Switzerland,548
Taiwan,2
Tajikistan,1
Thailand,218
Tunisia,19
Turkey,197
Turkmenistan,14
Turks & Caicos Islands,4
U.S. Virgin Islands,6
Ukraine,86
United Arab Emirates,294
United Kingdom,126
United States,1209
Uruguay,11
Uzbekistan,46
Venezuela,6
Vietnam,236
Yemen,2
Zambia,6
Zimbabwe,3
