Country,origin
Argentina,437
Australia,524
Austria,5
Austria-Hungary,36
Baden,36
Bavaria,36
Bolivia,382
Brazil,47
Brunswick,36
Cambodia,59
Cameroon,51
Canada,33
Chad,181
Channel Islands,36
China,10
Colombia,588
Czechoslovakia,36
France,13
German Democratic Republic,36
Germany,1
Guyana,12
Hamburg,36
Hanover,36
Hesse-Darmstadt,36
Hesse-Kassel,36
Hesse Electoral,36
Hesse Grand Ducal,36
India,9
Indonesia,1911
Israel,15
Italy,6
Japan,4
Kenya,22
Kosovo,36
Laos,444
Madagascar,32
Malawi,64
Malaysia,491
Mali,239
Mecklenburg Schwerin,36
Mexico,15
Modena,36
Mozambique,77
Nassau,36
Netherlands Antilles,36
Nigeria,5
Oldenburg,36
Orange Free State,36
Panama,4
Papua New Guinea,393
Paraguay,74
Parma,36
Peru,74
Philippines,49
Piedmont-Sardinia,36
Prussia,36
Republic of Vietnam,36
Russia,3
Sardinia,36
Saxe-Weimar-Eisenach,36
Saxony,36
Serbia and Montenegro,36
Singapore,43
Somaliland,36
South Africa,428
Sudan,116
Switzerland,5
Tanzania,14
Thailand,259
Togo,19
Tuscany,36
Two Sicilies,36
Uganda,1
United Arab Republic,36
United Province CA,36
United States,1769
Venezuela,236
Vietnam,1208
Wuerttemburg,36
W??rtemberg,36
Yemen Arab Republic,36
Yemen People's Republic,36
Yugoslavia,36
Zambia,202
Zanzibar,36
Zimbabwe,975
NA,1433
